Período;Período.Format.2;Região;Instituição;Localização Geográfica;Urgências Geral;Urgências Pediátricas;Urgência Obstetricia;Urgência Psiquiátrica;Total Urgências
2022-10;2022/10/01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;112608;36764;6856;;156228
2022-10;2022/10/01;Região de Saúde Norte;Hospital de Braga, EPE;41.56785, -8.398982;121201;36085;10746;;168032
2022-10;2022/10/01;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;43644;10934;;;54578
2022-11;2022/11/01;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;258294;67360;18685;0;344339
2022-11;2022/11/01;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;124640;31541;10921;;167102
2022-11;2022/11/01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;96690;35943;9125;;141758
2022-11;2022/11/01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;87954;32966;13067;;133987
2022-11;2022/11/01;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;82335;48271;11861;;142467
2022-11;2022/11/01;Região de Saúde LVT;Hospital de Loures, EPE;38.821455, -9.176296;85512;49444;12029;0;146985
2022-11;2022/11/01;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;77030;29752;7292;;114074
2022-11;2022/11/01;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;159477;55484;18292;;233253
2022-11;2022/11/01;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;115673;;19379;;135052
2022-11;2022/11/01;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;166519;33773;8361;;208653
2022-12;2022/12/01;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;53656;20349;;;74005
2022-12;2022/12/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;95669;;;;95669
2022-12;2022/12/01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;135837;83262;20147;6491;245737
2022-12;2022/12/01;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;115927;34288;3923;;154138
2022-12;2022/12/01;Região de Saúde LVT;Hospital de Loures, EPE;38.821455, -9.176296;91953;54208;13022;0;159183
2022-12;2022/12/01;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;173943;60877;19943;;254763
2022-12;2022/12/01;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;125270;;21113;;146383
2022-12;2022/12/01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;73960;;;;73960
2022-12;2022/12/01;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;100865;35750;10257;;146872
2023-01;2023/01/01;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;10641;3388;526;;14555
2023-01;2023/01/01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;11098;6940;1773;463;20274
2023-01;2023/01/01;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;9848;2996;273;;13117
2023-01;2023/01/01;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;14226;6419;1040;;21685
2023-01;2023/01/01;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;7324;2788;586;;10698
2023-01;2023/01/01;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;10201;;1626;;11827
2023-01;2023/01/01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;8691;;;;8691
2023-02;2023/02/01;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;8573;3031;;;11604
2023-02;2023/02/01;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;7945;2604;643;43;11235
2023-02;2023/02/01;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;20746;6744;1005;;28495
2023-02;2023/02/01;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;8087;3160;;;11247
2023-02;2023/02/01;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;12706;2750;676;;16132
2023-02;2023/02/01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;18636;7058;1517;;27211
2023-02;2023/02/01;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;18907;6007;550;;25464
2023-02;2023/02/01;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;13157;5214;1237;;19608
2023-02;2023/02/01;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;24537;6247;2230;;33014
2023-02;2023/02/01;Região de Saúde Norte;Centro Hospitalar Universitário de Santo António, EPE;41.1472498, -8.6172617;19937;;3122;;23059
2023-02;2023/02/01;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;16797;5799;1588;;24184
2023-03;2023/03/01;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;12808;4637;;;17445
2023-03;2023/03/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;23191;4503;932;;28626
2023-03;2023/03/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;19264;2252;561;;22077
2023-03;2023/03/01;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;19372;4177;969;;24518
2023-03;2023/03/01;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;12901;3847;400;;17148
2023-03;2023/03/01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;22981;8735;3160;;34876
2023-03;2023/03/01;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;33992;11054;4347;;49393
2023-03;2023/03/01;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;22084;12812;3199;;38095
2023-03;2023/03/01;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;36996;8197;1898;;47091
2023-04;2023/04/01;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;16862;6031;;;22893
2023-04;2023/04/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;30289;5851;1279;;37419
2023-04;2023/04/01;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;90106;23419;6149;0;119674
2023-04;2023/04/01;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;37641;16213;2358;;56212
2023-04;2023/04/01;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;45448;15188;5746;;66382
2023-04;2023/04/01;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;28588;11127;2247;;41962
2023-04;2023/04/01;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;61081;12141;2743;;75965
2023-04;2023/04/01;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;49073;10429;2598;;62100
2023-04;2023/04/01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;26543;;3046;;29589
2023-05;2023/05/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;32220;3818;970;;37008
2023-05;2023/05/01;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;114497;29474;7875;0;151846
2023-05;2023/05/01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;38631;14296;5474;;58401
2023-05;2023/05/01;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;31699;15323;3832;;50854
2023-05;2023/05/01;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;47882;20505;3006;;71393
2023-05;2023/05/01;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;72664;34130;5307;;112101
2023-05;2023/05/01;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;36287;14138;2867;;53292
2023-05;2023/05/01;Região de Saúde Norte;Hospital de Braga, EPE;41.56785, -8.398982;62020;20436;5652;;88108
2023-06;2023/06/01;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;90731;33129;10827;;134687
2023-06;2023/06/01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;46474;16523;6473;;69470
2023-06;2023/06/01;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;42077;24380;8944;0;75401
2023-06;2023/06/01;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;43592;16567;3466;;63625
2023-07;2023/07/01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;54323;18590;7670;;80583
2023-07;2023/07/01;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;52729;28606;7950;;89285
2023-07;2023/07/01;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;31722;7560;;;39282
2023-07;2023/07/01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;58237;;;;58237
2023-08;2023/08/01;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;34827;11633;;;46460
2023-08;2023/08/01;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;123167;42721;15117;;181005
2023-08;2023/08/01;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;76995;22628;10133;;109756
2023-08;2023/08/01;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;53805;10013;2876;;66694
2023-08;2023/08/01;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;35914;10091;1200;;47205
2023-08;2023/08/01;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;51287;22380;6688;;80355
2023-08;2023/08/01;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;79853;21507;3095;;104455
2023-08;2023/08/01;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;105511;24333;10383;;140227
2023-08;2023/08/01;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;70392;22428;7259;;100079
2023-08;2023/08/01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;97490;13152;4572;;115214
2023-09;2023/09/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;72931;;;;72931
2023-09;2023/09/01;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;37727;10738;3057;316;51838
2023-09;2023/09/01;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;101202;30954;5332;;137488
2023-09;2023/09/01;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;40111;13981;;;54092
2023-09;2023/09/01;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;39913;10962;1354;;52229
2023-09;2023/09/01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;86236;25954;7072;;119262
2023-09;2023/09/01;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;57328;24601;7501;;89430
2023-09;2023/09/01;Região de Saúde LVT;Hospital de Loures, EPE;38.821455, -9.176296;60600;23240;10464;0;94304
2023-09;2023/09/01;Região de Saúde Norte;Centro Hospitalar Universitário de Santo António, EPE;41.1472498, -8.6172617;97289;;15279;;112568
2023-09;2023/09/01;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;41245;9071;;;50316
2023-10;2023/10/01;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;153526;52923;19256;;225705
2023-10;2023/10/01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;95564;28666;7735;;131965
2023-10;2023/10/01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;114171;64816;20077;5315;204379
2023-10;2023/10/01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;77267;24910;13580;;115757
2023-10;2023/10/01;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;99268;25666;4028;;128962
2023-10;2023/10/01;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;146745;47289;17133;;211167
2023-10;2023/10/01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;59140;;;;59140
2023-10;2023/10/01;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;130386;29887;13016;;173289
2023-10;2023/10/01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;70178;;7946;;78124
2023-11;2023/11/01;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;47369;15648;;;63017
2023-11;2023/11/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;82577;16055;3888;;102520
2023-11;2023/11/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;88364;;;;88364
2023-11;2023/11/01;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;121072;38680;6451;;166203
2023-11;2023/11/01;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;104938;31320;13740;;149998
2023-11;2023/11/01;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;48202;13723;1689;;63614
2023-11;2023/11/01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;124984;73345;22213;5838;226380
2023-11;2023/11/01;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;160577;51710;17970;;230257
2023-11;2023/11/01;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;169170;31972;8047;;209189
2023-11;2023/11/01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;65490;;;;65490
2023-12;2023/12/01;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;88370;48908;15263;;152541
2023-12;2023/12/01;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;79915;32662;7624;;120201
2023-12;2023/12/01;Região de Saúde Norte;Centro Hospitalar Universitário de Santo António, EPE;41.1472498, -8.6172617;127285;;20472;;147757
2023-12;2023/12/01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;140711;47312;8624;;196647
2023-12;2023/12/01;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;53500;13092;;;66592
2024-01;2024/01/01;Região de Saúde do Centro;Unidade Local de Saúde da Região de Leiria, EPE;39.7418, -8.79444;10042;2483;800;;13325
2024-01;2024/01/01;Região de Saúde LVT;Unidade Local de Saúde de Lisboa Ocidental, EPE;38.7084, -9.21711;6569;2194;1288;;10051
2024-01;2024/01/01;Região de Saúde Norte;Unidade Local de Saúde de São João, EPE;41.1833, -8.60193;12743;6129;1006;;19878
2024-01;2024/01/01;Região de Saúde LVT;Unidade Local de Saúde do Arco Ribeirinho, EPE;38.6527214050293, -9.0;9228;1728;737;0;11693
2024-01;2024/01/01;Região de Saúde do Centro;Unidade Local de Saúde do Baixo Mondego, EPE;40.130297609, -8.8606;3994;1621;;;5615
2024-01;2024/01/01;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo, EPE;38.977344, -8.984882;6264;3721;690;;10675
2024-02;2024/02/01;Região de Saúde do Centro;Unidade Local de Saúde Castelo Branco, EPE;39.822737, -7.499876;8311;2905;374;;11590
2024-02;2024/02/01;Região de Saúde do Centro;Unidade Local de Saúde da Cova da Beira, EPE;40.2776794433594, -7.0;7475;2732;615;42;10864
2024-02;2024/02/01;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309943471486, -7.0;12559;2464;656;;15679
2024-02;2024/02/01;Região de Saúde LVT;Unidade Local de Saúde da Lezíria, EPE;39.232503, -8.715083;11627;4642;1119;;17388
2024-02;2024/02/01;Região de Saúde Norte;Unidade Local de Saúde de Braga, EPE;41.562328338623, -8.3;23139;8502;1950;;33591
2024-02;2024/02/01;Região de Saúde do Centro;Unidade Local de Saúde de Coimbra, EPE;40.217426, -8.410075;31147;11059;3757;;45963
2024-02;2024/02/01;Região de Saúde Norte;Unidade Local de Saúde de São João, EPE;41.1833, -8.60193;25885;12832;1933;;40650
2024-02;2024/02/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Alentejo Central, EPE;38.568838, -7.903064;7158;2344;;;9502
2024-02;2024/02/01;Região de Saúde do Algarve;Unidade Local de Saúde do Algarve, EPE;37.024668, -7.928949;42561;11261;2795;0;56617
2024-02;2024/02/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.0146, -7.86863;15052;2958;683;;18693
2024-03;2024/03/01;Região de Saúde LVT;Unidade Local de Saúde de São José, EPE;38.7169, -9.13654;31917;21280;5921;1502;60620
2024-03;2024/03/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Alto Alentejo, EPE;39.2999, -7.4267;19144;2274;624;;22042
2024-03;2024/03/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.0146, -7.86863;23065;4622;995;;28682
2024-03;2024/03/01;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo, EPE;39.605565, -8.404399;27261;6924;926;;35111
2024-04;2024/04/01;Região de Saúde do Centro;Unidade Local de Saúde Castelo Branco, EPE;39.822737, -7.499876;17346;5875;751;;23972
2024-04;2024/04/01;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309943471486, -7.0;23732;4988;1139;;29859
2024-04;2024/04/01;Região de Saúde LVT;Unidade Local de Saúde de Santa Maria, EPE;38.7500648498535, -9.0;44204;16823;836;;61863
2024-04;2024/04/01;Região de Saúde Norte;Unidade Local de Saúde de Vila Nova de Gaia/Espinho, EPE;41.1254463195801, -8.0;42360;14442;2714;;59516
2024-04;2024/04/01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.697519, -8.832517;45736;7660;2223;;55619
2024-04;2024/04/01;Região de Saúde do Centro;Unidade Local de Saúde do Baixo Mondego, EPE;40.130297609, -8.8606;16668;7137;;;23805
2024-05;2024/05/01;Região de Saúde LVT;Hospital de Cascais, PPP;38.730076, -9.418207;34484;21118;6790;369;62761
2024-05;2024/05/01;Região de Saúde do Centro;Unidade Local de Saúde da Cova da Beira, EPE;40.2776794433594, -7.0;20702;7671;1628;140;30141
2024-05;2024/05/01;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, EPE;41.383183, -8.758784;28934;;;;28934
2024-05;2024/05/01;Região de Saúde LVT;Unidade Local de Saúde de Amadora/Sintra, EPE;38.7436332060551, -9.0;75970;22350;7258;0;105578
2024-05;2024/05/01;Região de Saúde LVT;Unidade Local de Saúde de São José, EPE;38.7169, -9.13654;56228;36995;10592;2609;106424
2024-05;2024/05/01;Região de Saúde Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, EPE;41.310331, -7.760103;79092;14425;2329;;95846
2024-05;2024/05/01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.697519, -8.832517;58550;9726;2786;;71062
2024-06;2024/06/01;Região de Saúde LVT;Unidade Local de Saúde da Arrábida, EPE;38.529351, -8.881073;36009;16105;3558;;55672
2024-06;2024/06/01;Região de Saúde LVT;Unidade Local de Saúde de Santa Maria, EPE;38.7500648498535, -9.0;69051;25286;1919;;96256
2024-06;2024/06/01;Região de Saúde Norte;Unidade Local de Saúde de Santo António, EPE;41.147283, -8.619536;63145;;10262;;73407
2024-06;2024/06/01;Região de Saúde LVT;Unidade Local de Saúde de São José, EPE;38.7169, -9.13654;68346;43944;12540;3175;128005
2024-06;2024/06/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Alto Alentejo, EPE;39.2999, -7.4267;40098;4779;1342;;46219
2024-06;2024/06/01;Região de Saúde LVT;Unidade Local de Saúde do Arco Ribeirinho, EPE;38.6527214050293, -9.0;58138;11117;3745;0;73000
2024-06;2024/06/01;Região de Saúde Norte;Unidade Local de Saúde do Médio Ave, EPE;41.3422317504883, -8.0;43680;18486;3557;0;65723
2024-07;2024/07/01;Região de Saúde do Centro;Unidade Local de Saúde da Cova da Beira, EPE;40.2776794433594, -7.0;29337;10526;2320;231;42414
2024-07;2024/07/01;Região de Saúde LVT;Unidade Local de Saúde da Lezíria, EPE;39.232503, -8.715083;45321;18545;4397;;68263
2024-07;2024/07/01;Região de Saúde do Centro;Unidade Local de Saúde da Região de Leiria, EPE;39.7418, -8.79444;72382;15944;5295;;93621
2024-07;2024/07/01;Região de Saúde Norte;Unidade Local de Saúde de Barcelos/Esposende, EPE;41.533438, -8.616604;31055;8751;;;39806
2024-07;2024/07/01;Região de Saúde Norte;Unidade Local de Saúde de São João, EPE;41.1833, -8.60193;100447;48742;7469;;156658
2024-07;2024/07/01;Região de Saúde LVT;Unidade Local de Saúde de São José, EPE;38.7169, -9.13654;79128;49576;13869;3632;146205
2024-07;2024/07/01;Região de Saúde Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, EPE;41.310331, -7.760103;114279;19339;3168;;136786
2024-07;2024/07/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.039936, -8.731693;60622;;;;60622
2024-07;2024/07/01;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo, EPE;39.605565, -8.404399;69511;16535;2469;;88515
2024-07;2024/07/01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.802452, -6.768198;61593;;;;61593
2024-08;2024/08/01;Região de Saúde LVT;Hospital de Cascais, PPP;38.730076, -9.418207;56048;31176;11035;562;98821
2024-08;2024/08/01;Região de Saúde do Centro;Unidade Local de Saúde de Coimbra, EPE;40.217426, -8.410075;135855;45856;15804;;197515
2024-08;2024/08/01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.181859, -8.663374;55500;;5951;;61451
2024-08;2024/08/01;Região de Saúde Norte;Unidade Local de Saúde de Santo António, EPE;41.147283, -8.619536;85015;;13626;;98641
2024-08;2024/08/01;Região de Saúde LVT;Unidade Local de Saúde de São José, EPE;38.7169, -9.13654;91423;55513;16334;4255;167525
2024-08;2024/08/01;Região de Saúde Norte;Unidade Local de Saúde de Vila Nova de Gaia/Espinho, EPE;41.1254463195801, -8.0;88552;26022;5472;;120046
2024-08;2024/08/01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.697519, -8.832517;97680;14502;4662;;116844
2024-08;2024/08/01;Região de Saúde LVT;Unidade Local de Saúde do Arco Ribeirinho, EPE;38.6527214050293, -9.0;76969;13221;5049;0;95239
2024-08;2024/08/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.0146, -7.86863;63655;12726;2803;;79184
2024-09;2024/09/01;Região de Saúde LVT;Hospital de Cascais, PPP;38.730076, -9.418207;63098;34580;12518;636;110832
2024-09;2024/09/01;Região de Saúde LVT;Unidade Local de Saúde de Almada-Seixal, EPE;38.67381, -9.17597;69844;28668;9863;;108375
2024-09;2024/09/01;Região de Saúde Norte;Unidade Local de Saúde de Braga, EPE;41.562328338623, -8.3;114940;36049;8602;;159591
2024-09;2024/09/01;Região de Saúde LVT;Unidade Local de Saúde de Santa Maria, EPE;38.7500648498535, -9.0;104270;35525;5198;;144993
2024-09;2024/09/01;Região de Saúde do Centro;Unidade Local de Saúde do Baixo Mondego, EPE;40.130297609, -8.8606;39031;14938;;;53969
2024-09;2024/09/01;Região de Saúde LVT;Unidade Local de Saúde do Oeste, EPE;39.4055519104004, -9.0;89588;36806;4740;;131134
2013-01;2013/01/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;8874;1583;353;;10810
2013-01;2013/01/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;8247;;;;8247
2013-01;2013/01/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;6783;1069;105;;7957
2013-01;2013/01/01;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;4220;1291;105;;5616
2013-01;2013/01/01;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;12925;5492;1100;;19517
2013-01;2013/01/01;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;16111;7388;1193;;24692
2013-01;2013/01/01;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;8950;4064;713;;13727
2013-01;2013/01/01;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;11074;4407;1046;;16527
2013-02;2013/02/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;15819;;;;15819
2013-02;2013/02/01;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;20495;8247;1612;;30354
2013-02;2013/02/01;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;20338;6400;2171;;28909
2013-02;2013/02/01;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;11687;2292;599;;14578
